,N_Gon,Shape_Area,CS_Radius,num_Candidates,num_Charging_Station,Total_Time,Total_Distance_Travel
0,4.0,25.0,2.5,25.0,4.0,69.01324338052812,575.110361504401
1,4.0,25.0,3.5,25.0,3.0,76.37530595580775,636.4608829650646
2,4.0,50.0,2.5,50.0,0.0,0.0,0.0
3,4.0,50.0,3.5,50.0,0.0,0.0,0.0
4,4.0,100.0,2.5,100.0,10.0,280.46031500419207,2337.1692917016007
5,4.0,100.0,3.5,100.0,6.0,367.7064443910051,3064.220369925042
6,8.0,24.972,2.5,25.0,5.0,69.45569930233926,578.7974941861605
7,8.0,24.972,3.5,25.0,3.0,70.87696846000028,590.6414038333357
8,8.0,49.998900000000006,2.5,50.0,6.0,141.28186564358398,1177.3488803632
9,8.0,49.998900000000006,3.5,50.0,4.0,163.34745711026133,1361.2288092521778
10,8.0,100.04329999999999,2.5,101.0,11.0,282.3114140573501,2352.595117144584
11,8.0,100.04329999999999,3.5,101.0,6.0,352.0085198000252,2933.4043316668767
